,budget,id,revenue,runtime,views,likes,dislikes,n_trailers,daysSinceStart,dayInYear,Mystery,Romance,Family,Science Fiction,Horror,Crime,Drama,Fantasy,Western,Animation,Music,Adventure,Foreign,Action,TV Movie,Comedy,Documentary,War,Thriller,History,numlang,cn,da,de,en,es,fr,hi,it,ja,ko,ml,ru,ta,zh,profit,isProfitable
26,55000000,10530,346079773.0,81.0,1604487,2211,171,2,29346,164,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,291079773.0,1
27,6000000,629,23341568.0,106.0,2153660,3085,124,1,29381,199,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17341568.0,1
28,15000000,11448,6700000.0,95.0,49414,29,2,1,29437,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8300000.0,0
29,3500000,10634,28215918.0,91.0,1021466,1939,74,1,29297,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24715918.0,1
30,19000000,755,25836616.0,108.0,220642,336,25,2,29565,18,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6836616.0,1
31,50000000,11859,11534477.0,91.0,87996,105,6,1,29488,306,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-38465523.0,0
32,15000000,36929,2042530.0,90.0,5566,0,0,1,29572,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-12957470.0,0
33,20000000,9102,5781885.0,108.0,5737,16,0,1,29432,250,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-14218115.0,0
34,8000000,400,529766.0,116.0,135823,146,12,1,29516,334,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-7470234.0,0
35,38000000,10534,10300000.0,129.0,265695,318,10,1,29579,32,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-27700000.0,0
36,8169363,2086,8175346.0,90.0,79348,0,0,1,29507,325,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5983.0,1
37,47000000,9095,12379402.0,104.0,26709,55,3,1,29600,53,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-34620598.0,0
38,14000000,12158,19800000.0,100.0,272912,209,9,2,29480,298,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5800000.0,1
39,50000000,9208,150270147.0,108.0,295936,454,24,1,29586,39,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100270147.0,1
40,7000000,13685,560069.0,91.0,1169,35,4,1,29598,51,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-6439931.0,0
41,12000000,9614,41205099.0,92.0,440721,588,35,1,29593,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29205099.0,1
42,24000000,688,182016617.0,135.0,389239,666,38,1,29329,147,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,158016617.0,1
43,72000000,197,210000000.0,177.0,338559,161,7,2,29325,143,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,138000000.0,1
44,1300000,103,28262574.0,114.0,256421,0,0,1,22279,37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26962574.0,1
45,7500000,33542,32392047.0,91.0,156546,323,12,1,29211,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24892047.0,1
46,25000000,78406,6278139.0,113.0,10367,38,3,1,29453,271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-18721861.0,0
47,40000000,11066,70100000.0,117.0,230256,0,0,1,28267,181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30100000.0,1
48,7000000,2074,14702438.0,92.0,114189,173,35,1,29628,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7702438.0,1
49,31000000,11000,185260553.0,117.0,22330,84,6,1,29614,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,154260553.0,1
50,19000000,9737,141407024.0,118.0,44243,58,9,1,29278,96,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,122407024.0,1
51,4000000,22279,851545.0,113.0,60444,185,3,1,29383,201,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3148455.0,0
52,52000000,568,355237933.0,140.0,854708,1207,73,2,29362,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,303237933.0,1
53,28000000,11780,31596911.0,139.0,521042,477,25,1,29284,102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3596911.0,1
54,100000000,414,336529144.0,121.0,39492,57,5,1,29348,166,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,236529144.0,1
55,2000000,5894,1275000.0,83.0,12205,49,6,1,29439,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-725000.0,0
56,11000000,1775,178104.0,91.0,111064,195,7,1,29340,158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-10821896.0,0
57,50000000,8839,287928194.0,100.0,292194,408,27,1,29327,145,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,237928194.0,1
58,25000000,20649,13071518.0,128.0,49915,114,6,1,29439,257,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-11928482.0,0
