,adult,budget,id,original_language,revenue,runtime,views,likes,dislikes,n_trailers,daysSinceStart,dayInYear,Mystery,Romance,Family,Science Fiction,Horror,Crime,Drama,Fantasy,Western,Animation,Music,Adventure,Foreign,Action,TV Movie,Comedy,Documentary,War,Thriller,History,numlang,cn,da,de,en,es,fr,hi,it,ja,ko,ml,ru,ta,zh
24,False,10000000,11861,en,23574130.0,116.0,98958,214,6,1,29460,278,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,False,33000000,807,en,327311859.0,127.0,33367,33,1,1,29446,264,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,False,55000000,10530,en,346079773.0,81.0,1604487,2211,171,2,29346,164,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,False,6000000,629,en,23341568.0,106.0,2153660,3085,124,1,29381,199,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,False,15000000,11448,en,6700000.0,95.0,49414,29,2,1,29437,255,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,False,3500000,10634,en,28215918.0,91.0,1021466,1939,74,1,29297,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,False,19000000,755,en,25836616.0,108.0,220642,336,25,2,29565,18,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,False,50000000,11859,en,11534477.0,91.0,87996,105,6,1,29488,306,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32,False,15000000,36929,en,2042530.0,90.0,5566,0,0,1,29572,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33,False,20000000,9102,en,5781885.0,108.0,5737,16,0,1,29432,250,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34,False,8000000,400,en,529766.0,116.0,135823,146,12,1,29516,334,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,False,38000000,10534,en,10300000.0,129.0,265695,318,10,1,29579,32,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,False,8169363,2086,en,8175346.0,90.0,79348,0,0,1,29507,325,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,False,47000000,9095,en,12379402.0,104.0,26709,55,3,1,29600,53,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,False,14000000,12158,en,19800000.0,100.0,272912,209,9,2,29480,298,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39,False,50000000,9208,en,150270147.0,108.0,295936,454,24,1,29586,39,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,False,7000000,13685,en,560069.0,91.0,1169,35,4,1,29598,51,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,False,12000000,9614,en,41205099.0,92.0,440721,588,35,1,29593,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,False,24000000,688,en,182016617.0,135.0,389239,666,38,1,29329,147,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,False,72000000,197,en,210000000.0,177.0,338559,161,7,2,29325,143,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,False,1300000,103,en,28262574.0,114.0,256421,0,0,1,22279,37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45,False,7500000,33542,cn,32392047.0,91.0,156546,323,12,1,29211,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,False,25000000,78406,en,6278139.0,113.0,10367,38,3,1,29453,271,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,False,40000000,11066,en,70100000.0,117.0,230256,0,0,1,28267,181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,False,7000000,2074,en,14702438.0,92.0,114189,173,35,1,29628,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
49,False,31000000,11000,en,185260553.0,117.0,22330,84,6,1,29614,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50,False,19000000,9737,en,141407024.0,118.0,44243,58,9,1,29278,96,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,False,4000000,22279,en,851545.0,113.0,60444,185,3,1,29383,201,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52,False,52000000,568,en,355237933.0,140.0,854708,1207,73,2,29362,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,False,28000000,11780,en,31596911.0,139.0,521042,477,25,1,29284,102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
54,False,100000000,414,en,336529144.0,121.0,39492,57,5,1,29348,166,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,False,2000000,5894,en,1275000.0,83.0,12205,49,6,1,29439,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
56,False,11000000,1775,en,178104.0,91.0,111064,195,7,1,29340,158,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
57,False,50000000,8839,en,287928194.0,100.0,292194,408,27,1,29327,145,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58,False,25000000,20649,en,13071518.0,128.0,49915,114,6,1,29439,257,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,False,50000000,10329,en,152022101.0,109.0,221260,151,14,1,29341,159,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,False,53000000,8963,en,157387195.0,116.0,16523,0,0,1,29313,131,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
61,False,7000000,8068,en,25405445.0,104.0,269717,0,0,1,29418,236,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
62,False,27000000,8512,en,16140822.0,102.0,11669,19,2,1,29439,257,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,False,90000000,1572,en,366101666.0,128.0,135644,245,16,1,29320,138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,False,55000000,6520,en,127600435.0,134.0,712279,647,54,1,29369,187,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
65,False,20000000,10428,en,7563728.0,107.0,1385268,1691,116,1,29438,256,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
66,False,25000000,9886,en,19075720.0,97.0,153833,274,17,1,29327,145,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
67,False,90000000,9482,en,113493481.0,96.0,526482,668,56,1,29362,180,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
68,False,1500000,9344,en,7412216.0,91.0,2563546,6772,353,1,29390,208,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,False,6000000,2293,en,2122561.0,94.0,295970,614,25,1,29474,292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
70,False,15000000,9070,en,66000000.0,92.0,1142299,1207,166,1,29362,180,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
71,False,2,48787,en,1.0,95.0,2478,4,0,1,29452,270,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72,False,22000000,1642,en,110627965.0,114.0,648925,763,48,1,29390,208,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,False,150000,36196,en,472370.0,94.0,4457,8,0,1,29341,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,False,8,11980,en,16.0,98.0,158456,180,4,1,29425,243,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,False,50000000,10533,en,10382407.0,135.0,417675,178,17,1,29467,285,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,False,45000000,10802,en,20350754.0,128.0,755868,640,73,1,29446,264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77,False,7000000,10149,en,8349430.0,112.0,13670,63,3,1,29341,159,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
78,False,35000000,9348,en,113374103.0,108.0,136146,75,7,1,29369,187,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
79,False,42000000,281,en,7959291.0,145.0,897068,1795,59,1,29467,285,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,False,14000000,79593,en,5780000.0,99.0,17888,27,1,1,29432,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,False,60000000,3512,en,104324083.0,100.0,101338,136,9,1,29375,193,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,False,20000000,9560,en,50012507.0,103.0,642555,1113,39,1,29404,222,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,False,175000000,9804,en,264218220.0,135.0,1394198,1424,148,1,29390,208,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,False,2800000,50797,ru,2616503.0,135.0,48434,47,5,1,28937,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85,False,2500000,76,en,5535405.0,105.0,259926,1166,15,1,29208,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,False,10000000,11017,en,26488734.0,89.0,29660,32,6,1,29222,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,False,21000000,9382,en,23450000.0,115.0,7178,0,0,1,29215,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
88,False,27000,2292,en,3151130.0,92.0,496011,1069,40,1,29072,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
89,False,25000000,1909,en,22200000.0,97.0,1728,2,0,1,29090,273,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
90,False,55000000,8984,en,214015089.0,123.0,418313,74,13,2,29159,342,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,False,18000000,522,en,5887457.0,127.0,760291,2260,44,1,29086,269,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,False,15000000,27303,en,12201255.0,103.0,39348,71,5,1,29243,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
93,False,700000,14275,en,7830611.0,171.0,510705,557,11,2,29071,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
94,False,5000000,1024,en,3049135.0,99.0,21469,28,3,1,29061,244,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,False,60000000,628,en,223664608.0,123.0,328872,451,11,1,29131,314,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
96,False,60000000,6280,en,37000000.0,109.0,304121,772,57,1,29142,325,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,False,11000000,11,en,775398007.0,121.0,2496022,21841,327,3,22752,144,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
98,False,2000000,18183,es,21665468.0,105.0,182677,195,9,1,28192,106,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
99,False,30000000,4476,en,160638883.0,133.0,441946,492,22,2,29166,349,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,False,17000000,28313,en,7603766.0,106.0,90447,0,0,1,29257,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,False,45000000,3036,en,112006296.0,123.0,516782,593,50,1,29124,307,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,False,31000000,1945,en,106683817.0,112.0,570954,677,60,1,29173,356,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,False,34000000,241,en,50282766.0,119.0,6631,10,0,1,29053,236,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,False,50000000,6950,en,189859560.0,127.0,190093,257,20,1,29250,68,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,False,16000000,101,fr,45284974.0,110.0,514840,2847,72,1,29073,256,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106,False,11000000,63020,en,2832826.0,113.0,9247,18,3,1,29313,131,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,False,8000000,680,en,213928762.0,154.0,3727135,10906,371,1,29069,252,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,False,32000000,12106,en,18552460.0,107.0,447166,452,27,1,29221,39,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,False,22000000,161495,sv,12400000.0,108.0,9555,38,1,1,29241,59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,False,15000000,3586,en,11300653.0,133.0,107140,350,18,1,29173,356,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
111,False,35000000,22586,en,9771658.0,89.0,324579,383,36,1,29138,321,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,False,45000000,2636,en,170362582.0,110.0,222514,270,23,2,29096,279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
113,False,55000000,2164,en,196567262.0,121.0,49059,79,5,2,29116,299,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114,False,22000000,11395,en,189833357.0,97.0,1371549,1513,118,1,29130,313,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
